lang,epoch,F1,precision,recall,accuracy
slk,1,0.100,0.132,0.080,0.901
slk,2,0.719,0.686,0.755,0.968
slk,3,0.803,0.786,0.822,0.973
eng,1,0.074,0.183,0.047,0.934
eng,2,0.582,0.546,0.622,0.961
eng,3,0.645,0.650,0.640,0.961
swe,1,0.094,0.163,0.066,0.970
swe,2,0.805,0.784,0.827,0.991
swe,3,0.836,0.830,0.843,0.992
nor,1,0.122,0.177,0.093,0.951
nor,2,0.789,0.740,0.846,0.987
nor,3,0.845,0.814,0.878,0.988
heb,1,0.063,0.102,0.046,0.929
heb,2,0.458,0.396,0.542,0.951
heb,3,0.507,0.443,0.592,0.940
rom,1,0.029,0.053,0.020,0.906
rom,2,0.674,0.599,0.769,0.976
rom,3,0.696,0.629,0.779,0.968
por,1,0.175,0.216,0.147,0.919
por,2,0.709,0.662,0.763,0.971
por,3,0.818,0.806,0.831,0.979
ger,1,0.090,0.143,0.066,0.935
ger,2,0.722,0.668,0.786,0.973
ger,3,0.787,0.754,0.823,0.975
chi,1,0.010,0.091,0.005,0.882
chi,2,0.604,0.543,0.680,0.951
chi,3,0.677,0.632,0.730,0.956
hrv,1,0.202,0.301,0.152,0.928
hrv,2,0.789,0.730,0.859,0.980
hrv,3,0.867,0.831,0.906,0.982
srb,1,0.193,0.279,0.147,0.912
srb,2,0.756,0.704,0.817,0.975
srb,3,0.869,0.847,0.891,0.980
dan,1,0.119,0.206,0.083,0.944
dan,2,0.759,0.738,0.782,0.984
dan,3,0.819,0.805,0.834,0.987
