lang,epoch,F1,precision,recall,accuracy
slk,1,0.785,0.785,0.785,0.973
slk,2,0.806,0.812,0.801,0.975
slk,3,0.802,0.816,0.789,0.975
slk,4,0.802,0.822,0.783,0.974
slk,5,0.806,0.817,0.796,0.973
slk,6,0.808,0.831,0.787,0.974
slk,7,0.805,0.821,0.789,0.973
slk,8,0.811,0.822,0.801,0.974
slk,9,0.806,0.818,0.794,0.974
slk,10,0.791,0.804,0.778,0.971
slk,11,0.793,0.810,0.778,0.972
slk,12,0.799,0.818,0.780,0.972
slk,13,0.792,0.818,0.769,0.971
slk,14,0.794,0.818,0.771,0.971
slk,15,0.797,0.819,0.776,0.972
eng,1,0.651,0.662,0.640,0.963
eng,2,0.659,0.661,0.658,0.962
eng,3,0.653,0.674,0.633,0.963
eng,4,0.653,0.695,0.615,0.962
eng,5,0.654,0.677,0.633,0.962
eng,6,0.651,0.701,0.608,0.962
eng,7,0.655,0.684,0.629,0.962
eng,8,0.653,0.687,0.622,0.963
eng,9,0.659,0.688,0.633,0.963
eng,10,0.664,0.707,0.626,0.963
eng,11,0.663,0.718,0.615,0.963
eng,12,0.673,0.723,0.629,0.964
eng,13,0.663,0.734,0.604,0.963
eng,14,0.665,0.725,0.615,0.963
eng,15,0.667,0.713,0.626,0.963
swe,1,0.848,0.859,0.838,0.992
swe,2,0.854,0.861,0.848,0.993
swe,3,0.871,0.885,0.858,0.993
swe,4,0.854,0.877,0.832,0.992
swe,5,0.867,0.876,0.858,0.993
swe,6,0.868,0.888,0.848,0.993
swe,7,0.859,0.870,0.848,0.993
swe,8,0.849,0.856,0.843,0.993
swe,9,0.859,0.870,0.848,0.993
swe,10,0.845,0.859,0.832,0.992
swe,11,0.858,0.874,0.843,0.992
swe,12,0.863,0.879,0.848,0.992
swe,13,0.855,0.873,0.838,0.992
swe,14,0.855,0.873,0.838,0.992
swe,15,0.855,0.873,0.838,0.992
nor,1,0.831,0.817,0.846,0.988
nor,2,0.833,0.817,0.849,0.989
nor,3,0.865,0.856,0.875,0.989
nor,4,0.859,0.868,0.849,0.989
nor,5,0.840,0.834,0.846,0.989
nor,6,0.860,0.871,0.849,0.989
nor,7,0.857,0.854,0.860,0.989
nor,8,0.859,0.855,0.864,0.989
nor,9,0.855,0.846,0.864,0.989
nor,10,0.845,0.848,0.842,0.989
nor,11,0.840,0.844,0.835,0.989
nor,12,0.854,0.859,0.849,0.989
nor,13,0.854,0.861,0.846,0.989
nor,14,0.850,0.858,0.842,0.989
nor,15,0.855,0.856,0.853,0.989
heb,1,0.588,0.548,0.633,0.961
heb,2,0.580,0.562,0.599,0.962
heb,3,0.613,0.594,0.633,0.963
heb,4,0.600,0.602,0.599,0.963
heb,5,0.603,0.613,0.595,0.962
heb,6,0.616,0.628,0.604,0.963
heb,7,0.608,0.614,0.601,0.963
heb,8,0.605,0.605,0.606,0.963
heb,9,0.635,0.638,0.631,0.965
heb,10,0.618,0.625,0.610,0.964
heb,11,0.611,0.625,0.597,0.963
heb,12,0.617,0.633,0.601,0.963
heb,13,0.623,0.645,0.601,0.963
heb,14,0.611,0.629,0.595,0.963
heb,15,0.619,0.635,0.604,0.964
rom,1,0.709,0.677,0.744,0.979
rom,2,0.648,0.652,0.644,0.976
rom,3,0.650,0.661,0.640,0.977
rom,4,0.612,0.637,0.589,0.973
rom,5,0.604,0.631,0.579,0.973
rom,6,0.601,0.633,0.572,0.972
rom,7,0.589,0.619,0.563,0.972
rom,8,0.587,0.614,0.563,0.971
rom,9,0.605,0.631,0.581,0.972
rom,10,0.590,0.622,0.561,0.970
rom,11,0.575,0.611,0.542,0.969
rom,12,0.581,0.616,0.550,0.969
rom,13,0.581,0.624,0.544,0.969
rom,14,0.587,0.629,0.550,0.969
rom,15,0.588,0.628,0.554,0.969
por,1,0.816,0.822,0.811,0.979
por,2,0.819,0.834,0.804,0.979
por,3,0.831,0.853,0.809,0.980
por,4,0.825,0.853,0.798,0.980
por,5,0.831,0.855,0.809,0.979
por,6,0.828,0.858,0.800,0.979
por,7,0.832,0.856,0.809,0.980
por,8,0.838,0.865,0.813,0.980
por,9,0.839,0.862,0.817,0.981
por,10,0.827,0.852,0.804,0.979
por,11,0.827,0.863,0.794,0.979
por,12,0.832,0.864,0.802,0.979
por,13,0.833,0.877,0.794,0.979
por,14,0.833,0.872,0.798,0.979
por,15,0.836,0.869,0.806,0.979
ger,1,0.798,0.781,0.817,0.977
ger,2,0.806,0.803,0.809,0.979
ger,3,0.805,0.811,0.800,0.979
ger,4,0.801,0.812,0.790,0.978
ger,5,0.816,0.825,0.807,0.979
ger,6,0.800,0.823,0.778,0.978
ger,7,0.804,0.823,0.786,0.977
ger,8,0.809,0.821,0.798,0.978
ger,9,0.807,0.818,0.796,0.978
ger,10,0.808,0.822,0.794,0.978
ger,11,0.808,0.825,0.792,0.978
ger,12,0.810,0.832,0.790,0.979
ger,13,0.798,0.822,0.775,0.978
ger,14,0.805,0.829,0.782,0.978
ger,15,0.809,0.830,0.790,0.978
chi,1,0.779,0.744,0.817,0.969
chi,2,0.799,0.775,0.824,0.974
chi,3,0.819,0.797,0.843,0.974
chi,4,0.838,0.823,0.854,0.978
chi,5,0.840,0.817,0.864,0.979
chi,6,0.836,0.827,0.845,0.979
chi,7,0.840,0.824,0.857,0.979
chi,8,0.840,0.819,0.862,0.977
chi,9,0.843,0.819,0.868,0.979
chi,10,0.849,0.830,0.868,0.979
chi,11,0.847,0.829,0.866,0.980
chi,12,0.851,0.833,0.870,0.980
chi,13,0.858,0.843,0.873,0.981
chi,14,0.846,0.825,0.868,0.980
chi,15,0.848,0.825,0.872,0.980
hrv,1,0.875,0.843,0.909,0.986
hrv,2,0.895,0.870,0.922,0.988
hrv,3,0.899,0.884,0.915,0.988
hrv,4,0.891,0.868,0.915,0.987
hrv,5,0.893,0.872,0.915,0.987
hrv,6,0.902,0.889,0.915,0.988
hrv,7,0.892,0.877,0.908,0.988
