lang,epoch,F1,precision,recall,accuracy
slk,1,0.763,0.735,0.794,0.965
slk,2,0.803,0.808,0.799,0.971
slk,3,0.809,0.800,0.817,0.973
slk,4,0.797,0.759,0.838,0.970
slk,5,0.800,0.780,0.822,0.972
slk,6,0.805,0.773,0.840,0.972
slk,7,0.808,0.793,0.824,0.971
slk,8,0.803,0.774,0.833,0.971
slk,9,0.808,0.786,0.831,0.972
slk,10,0.818,0.795,0.842,0.973
slk,11,0.812,0.785,0.842,0.972
slk,12,0.813,0.783,0.844,0.972
slk,13,0.817,0.792,0.844,0.973
slk,14,0.802,0.780,0.826,0.970
slk,15,0.809,0.782,0.838,0.973
slk,16,0.811,0.788,0.835,0.972
slk,17,0.817,0.789,0.847,0.972
slk,18,0.811,0.781,0.842,0.973
slk,19,0.815,0.788,0.844,0.972
slk,20,0.812,0.785,0.842,0.973
eng,1,0.687,0.655,0.723,0.965
eng,2,0.721,0.746,0.698,0.969
eng,3,0.732,0.758,0.709,0.971
eng,4,0.673,0.688,0.658,0.964
eng,5,0.658,0.698,0.622,0.963
eng,6,0.675,0.689,0.662,0.965
eng,7,0.696,0.713,0.680,0.967
eng,8,0.679,0.685,0.673,0.965
eng,9,0.695,0.702,0.687,0.967
eng,10,0.719,0.725,0.712,0.967
eng,11,0.689,0.714,0.665,0.965
eng,12,0.683,0.697,0.669,0.965
eng,13,0.691,0.711,0.673,0.966
eng,14,0.675,0.685,0.665,0.964
eng,15,0.692,0.709,0.676,0.966
eng,16,0.683,0.697,0.669,0.965
eng,17,0.670,0.679,0.662,0.963
eng,18,0.680,0.688,0.673,0.964
eng,19,0.687,0.695,0.680,0.963
eng,20,0.681,0.690,0.673,0.964
swe,1,0.840,0.814,0.868,0.992
swe,2,0.885,0.888,0.883,0.993
swe,3,0.875,0.898,0.853,0.993
swe,4,0.861,0.859,0.863,0.993
swe,5,0.867,0.892,0.843,0.993
swe,6,0.875,0.881,0.868,0.992
swe,7,0.882,0.891,0.873,0.992
swe,8,0.869,0.864,0.873,0.993
swe,9,0.887,0.901,0.873,0.993
swe,10,0.883,0.887,0.878,0.992
swe,11,0.896,0.894,0.898,0.993
swe,12,0.895,0.902,0.888,0.993
swe,13,0.882,0.891,0.873,0.992
swe,14,0.864,0.875,0.853,0.991
swe,15,0.889,0.905,0.873,0.992
swe,16,0.883,0.887,0.878,0.992
swe,17,0.885,0.888,0.883,0.993
swe,18,0.895,0.906,0.883,0.993
swe,19,0.890,0.897,0.883,0.993
swe,20,0.895,0.906,0.883,0.993
nor,1,0.826,0.795,0.860,0.987
nor,2,0.870,0.852,0.889,0.990
nor,3,0.897,0.888,0.907,0.991
nor,4,0.897,0.874,0.921,0.991
nor,5,0.860,0.850,0.871,0.988
nor,6,0.876,0.856,0.896,0.990
nor,7,0.886,0.880,0.892,0.991
nor,8,0.888,0.867,0.910,0.990
nor,9,0.877,0.862,0.892,0.990
nor,10,0.872,0.853,0.892,0.989
nor,11,0.869,0.849,0.889,0.989
nor,12,0.869,0.849,0.889,0.990
nor,13,0.858,0.841,0.875,0.990
nor,14,0.849,0.832,0.867,0.989
nor,15,0.873,0.861,0.885,0.990
nor,16,0.874,0.853,0.896,0.989
nor,17,0.877,0.859,0.896,0.990
nor,18,0.881,0.860,0.903,0.990
nor,19,0.885,0.863,0.907,0.990
