lang,epoch,F1,precision,recall,accuracy
slk,1,0.803,0.749,0.865,0.967
slk,2,0.805,0.745,0.876,0.969
slk,3,0.805,0.760,0.856,0.971
slk,4,0.811,0.765,0.863,0.971
slk,5,0.797,0.733,0.874,0.966
slk,6,0.797,0.741,0.863,0.969
slk,7,0.786,0.720,0.865,0.964
slk,8,0.805,0.747,0.872,0.969
slk,9,0.786,0.709,0.881,0.964
slk,10,0.806,0.753,0.867,0.968
slk,11,0.777,0.705,0.865,0.964
slk,12,0.793,0.736,0.860,0.969
slk,13,0.797,0.742,0.860,0.968
slk,14,0.789,0.726,0.863,0.968
slk,15,0.784,0.723,0.856,0.966
slk,16,0.793,0.730,0.867,0.966
slk,17,0.790,0.724,0.870,0.966
slk,18,0.797,0.732,0.874,0.966
slk,19,0.797,0.734,0.872,0.967
slk,20,0.798,0.735,0.874,0.966
eng,1,0.695,0.613,0.802,0.961
eng,2,0.669,0.571,0.806,0.960
eng,3,0.732,0.654,0.831,0.966
eng,4,0.714,0.648,0.795,0.966
eng,5,0.683,0.599,0.795,0.962
eng,6,0.707,0.629,0.806,0.966
eng,7,0.678,0.609,0.766,0.963
eng,8,0.690,0.611,0.791,0.963
eng,9,0.689,0.604,0.802,0.961
eng,10,0.706,0.627,0.806,0.966
eng,11,0.693,0.609,0.802,0.962
eng,12,0.701,0.623,0.802,0.964
eng,13,0.719,0.647,0.809,0.966
eng,14,0.722,0.643,0.824,0.965
eng,15,0.725,0.643,0.831,0.965
eng,16,0.731,0.650,0.835,0.965
eng,17,0.722,0.638,0.831,0.965
eng,18,0.731,0.650,0.835,0.966
eng,19,0.732,0.654,0.831,0.967
eng,20,0.735,0.657,0.835,0.967
swe,1,0.889,0.848,0.934,0.993
swe,2,0.892,0.845,0.944,0.993
swe,3,0.888,0.854,0.924,0.993
swe,4,0.902,0.872,0.934,0.994
swe,5,0.885,0.837,0.939,0.992
swe,6,0.884,0.843,0.929,0.993
swe,7,0.854,0.797,0.919,0.992
swe,8,0.895,0.843,0.954,0.993
swe,9,0.863,0.795,0.944,0.992
swe,10,0.892,0.845,0.944,0.993
swe,11,0.885,0.840,0.934,0.993
swe,12,0.885,0.837,0.939,0.993
swe,13,0.898,0.860,0.939,0.994
swe,14,0.887,0.841,0.939,0.993
swe,15,0.889,0.848,0.934,0.993
swe,16,0.892,0.849,0.939,0.993
swe,17,0.879,0.826,0.939,0.992
swe,18,0.892,0.849,0.939,0.993
swe,19,0.889,0.848,0.934,0.993
