lang,epoch,F1,precision,recall,accuracy
slk,1,0.801,0.815,0.787,0.975
slk,2,0.820,0.818,0.822,0.977
slk,3,0.801,0.800,0.803,0.973
slk,4,0.807,0.806,0.808,0.974
slk,5,0.810,0.831,0.789,0.973
slk,6,0.783,0.827,0.744,0.971
slk,7,0.774,0.772,0.776,0.970
slk,8,0.791,0.789,0.794,0.972
slk,9,0.793,0.801,0.785,0.972
slk,10,0.788,0.798,0.778,0.972
slk,11,0.785,0.805,0.767,0.971
slk,12,0.792,0.809,0.776,0.972
slk,13,0.793,0.814,0.773,0.972
slk,14,0.792,0.801,0.783,0.972
slk,15,0.790,0.802,0.778,0.972
eng,1,0.592,0.640,0.550,0.963
eng,2,0.644,0.693,0.601,0.964
eng,3,0.609,0.671,0.558,0.959
eng,4,0.610,0.678,0.554,0.961
eng,5,0.588,0.674,0.522,0.961
eng,6,0.576,0.707,0.486,0.961
eng,7,0.599,0.657,0.550,0.958
eng,8,0.615,0.669,0.568,0.962
eng,9,0.569,0.621,0.525,0.957
eng,10,0.634,0.691,0.586,0.962
eng,11,0.571,0.648,0.511,0.959
eng,12,0.560,0.638,0.500,0.959
eng,13,0.577,0.644,0.522,0.959
eng,14,0.573,0.636,0.522,0.958
eng,15,0.577,0.644,0.522,0.958
swe,1,0.831,0.851,0.812,0.992
swe,2,0.850,0.852,0.848,0.992
swe,3,0.846,0.855,0.838,0.992
swe,4,0.839,0.845,0.832,0.992
swe,5,0.843,0.854,0.832,0.992
swe,6,0.844,0.866,0.822,0.992
swe,7,0.847,0.851,0.843,0.992
swe,8,0.846,0.840,0.853,0.993
swe,9,0.848,0.848,0.848,0.993
swe,10,0.852,0.856,0.848,0.993
swe,11,0.853,0.865,0.843,0.993
swe,12,0.841,0.850,0.832,0.992
swe,13,0.848,0.859,0.838,0.992
swe,14,0.857,0.862,0.853,0.993
swe,15,0.846,0.855,0.838,0.992
nor,1,0.822,0.824,0.821,0.986
nor,2,0.838,0.824,0.853,0.988
nor,3,0.824,0.803,0.846,0.987
nor,4,0.831,0.810,0.853,0.986
nor,5,0.847,0.849,0.846,0.987
nor,6,0.853,0.864,0.842,0.987
nor,7,0.839,0.812,0.867,0.986
nor,8,0.833,0.810,0.857,0.986
nor,9,0.830,0.812,0.849,0.986
nor,10,0.851,0.832,0.871,0.987
nor,11,0.838,0.833,0.842,0.986
nor,12,0.835,0.825,0.846,0.986
nor,13,0.842,0.832,0.853,0.987
nor,14,0.840,0.824,0.857,0.987
nor,15,0.842,0.832,0.853,0.987
heb,1,0.543,0.505,0.588,0.952
heb,2,0.537,0.489,0.597,0.948
heb,3,0.517,0.463,0.585,0.939
heb,4,0.518,0.466,0.583,0.943
heb,5,0.537,0.512,0.565,0.953
heb,6,0.527,0.519,0.535,0.952
heb,7,0.499,0.454,0.554,0.941
heb,8,0.504,0.457,0.560,0.946
heb,9,0.520,0.484,0.560,0.947
heb,10,0.510,0.485,0.538,0.950
heb,11,0.512,0.490,0.538,0.950
heb,12,0.507,0.475,0.544,0.949
heb,13,0.512,0.490,0.538,0.949
heb,14,0.507,0.477,0.542,0.947
heb,15,0.503,0.477,0.531,0.947
rom,1,0.802,0.764,0.843,0.985
rom,2,0.830,0.793,0.871,0.985
rom,3,0.817,0.781,0.856,0.983
rom,4,0.833,0.792,0.878,0.985
rom,5,0.854,0.836,0.873,0.988
rom,6,0.849,0.839,0.858,0.987
rom,7,0.844,0.818,0.871,0.986
rom,8,0.837,0.810,0.865,0.987
rom,9,0.850,0.830,0.871,0.987
rom,10,0.843,0.826,0.860,0.988
rom,11,0.847,0.831,0.863,0.987
rom,12,0.853,0.834,0.873,0.988
rom,13,0.849,0.832,0.867,0.987
rom,14,0.849,0.829,0.869,0.988
rom,15,0.848,0.832,0.865,0.988
por,1,0.778,0.779,0.776,0.977
por,2,0.782,0.770,0.794,0.978
por,3,0.793,0.791,0.796,0.977
por,4,0.787,0.773,0.802,0.977
por,5,0.804,0.811,0.796,0.977
por,6,0.792,0.809,0.776,0.978
por,7,0.782,0.774,0.791,0.975
por,8,0.780,0.774,0.785,0.976
por,9,0.785,0.777,0.793,0.976
por,10,0.790,0.789,0.791,0.977
por,11,0.804,0.811,0.796,0.977
por,12,0.791,0.790,0.793,0.977
por,13,0.803,0.807,0.798,0.977
por,14,0.794,0.793,0.794,0.977
por,15,0.801,0.805,0.796,0.977
ger,1,0.767,0.755,0.778,0.976
ger,2,0.761,0.728,0.796,0.973
ger,3,0.758,0.736,0.782,0.972
ger,4,0.757,0.719,0.800,0.972
ger,5,0.759,0.748,0.771,0.974
ger,6,0.758,0.777,0.740,0.974
ger,7,0.750,0.728,0.773,0.970
ger,8,0.767,0.746,0.788,0.974
ger,9,0.752,0.734,0.771,0.973
ger,10,0.752,0.742,0.763,0.974
ger,11,0.753,0.749,0.757,0.974
ger,12,0.761,0.747,0.775,0.974
ger,13,0.764,0.758,0.771,0.974
ger,14,0.761,0.743,0.780,0.974
ger,15,0.758,0.746,0.771,0.974
chi,1,0.658,0.664,0.652,0.956
chi,2,0.682,0.664,0.701,0.958
chi,3,0.669,0.646,0.693,0.954
chi,4,0.662,0.638,0.688,0.956
chi,5,0.634,0.649,0.620,0.955
chi,6,0.573,0.631,0.525,0.945
chi,7,0.632,0.627,0.636,0.952
chi,8,0.650,0.643,0.657,0.955
chi,9,0.625,0.628,0.623,0.953
chi,10,0.605,0.617,0.593,0.949
chi,11,0.615,0.633,0.598,0.951
chi,12,0.644,0.645,0.643,0.955
chi,13,0.621,0.632,0.610,0.952
chi,14,0.639,0.637,0.642,0.953
chi,15,0.630,0.637,0.623,0.953
hrv,1,0.868,0.848,0.889,0.986
hrv,2,0.858,0.825,0.894,0.984
hrv,3,0.870,0.843,0.898,0.983
hrv,4,0.852,0.821,0.886,0.982
hrv,5,0.870,0.852,0.889,0.985
hrv,6,0.858,0.845,0.872,0.985
hrv,7,0.852,0.821,0.884,0.981
hrv,8,0.867,0.838,0.898,0.984
hrv,9,0.873,0.852,0.895,0.984
hrv,10,0.874,0.853,0.897,0.985
hrv,11,0.873,0.854,0.894,0.985
hrv,12,0.880,0.855,0.906,0.985
hrv,13,0.877,0.852,0.903,0.985
hrv,14,0.873,0.844,0.905,0.984
hrv,15,0.875,0.849,0.903,0.984
srb,1,0.863,0.851,0.875,0.983
srb,2,0.863,0.848,0.877,0.980
srb,3,0.860,0.847,0.874,0.978
srb,4,0.850,0.829,0.871,0.978
srb,5,0.879,0.879,0.880,0.982
srb,6,0.875,0.887,0.864,0.982
srb,7,0.851,0.836,0.866,0.976
srb,8,0.871,0.862,0.880,0.979
srb,9,0.865,0.859,0.870,0.978
srb,10,0.878,0.877,0.879,0.981
srb,11,0.878,0.880,0.875,0.980
srb,12,0.881,0.877,0.885,0.981
srb,13,0.880,0.881,0.880,0.980
srb,14,0.874,0.871,0.877,0.980
srb,15,0.873,0.873,0.874,0.980
dan,1,0.799,0.809,0.790,0.986
dan,2,0.821,0.834,0.808,0.986
dan,3,0.807,0.811,0.803,0.985
dan,4,0.827,0.823,0.831,0.987
dan,5,0.809,0.819,0.800,0.986
dan,6,0.808,0.836,0.782,0.986
dan,7,0.814,0.810,0.818,0.986
dan,8,0.795,0.800,0.790,0.984
dan,9,0.808,0.806,0.810,0.985
