lang,epoch,F1,precision,recall,accuracy
slk,1,0.843,0.844,0.842,0.979
slk,2,0.844,0.851,0.838,0.978
slk,3,0.864,0.851,0.876,0.980
slk,4,0.867,0.852,0.883,0.981
slk,5,0.873,0.864,0.883,0.981
slk,6,0.873,0.849,0.899,0.981
slk,7,0.871,0.856,0.886,0.981
slk,8,0.869,0.852,0.886,0.981
slk,9,0.871,0.850,0.892,0.980
slk,10,0.865,0.857,0.874,0.981
slk,11,0.869,0.849,0.890,0.980
slk,12,0.860,0.836,0.886,0.979
slk,13,0.858,0.832,0.886,0.979
slk,14,0.866,0.847,0.886,0.979
slk,15,0.871,0.850,0.892,0.980
eng,1,0.625,0.652,0.601,0.962
eng,2,0.650,0.717,0.594,0.962
eng,3,0.620,0.677,0.572,0.962
eng,4,0.653,0.695,0.615,0.963
eng,5,0.636,0.680,0.597,0.962
eng,6,0.673,0.688,0.658,0.963
eng,7,0.658,0.711,0.612,0.963
eng,8,0.664,0.690,0.640,0.963
eng,9,0.645,0.657,0.633,0.962
eng,10,0.624,0.661,0.590,0.962
eng,11,0.644,0.668,0.622,0.962
eng,12,0.634,0.649,0.619,0.962
eng,13,0.652,0.664,0.640,0.962
eng,14,0.639,0.662,0.619,0.962
eng,15,0.646,0.671,0.622,0.962
swe,1,0.837,0.841,0.832,0.992
swe,2,0.848,0.859,0.838,0.992
swe,3,0.854,0.861,0.848,0.992
swe,4,0.848,0.833,0.863,0.992
swe,5,0.857,0.847,0.868,0.992
swe,6,0.850,0.837,0.863,0.992
swe,7,0.854,0.861,0.848,0.991
swe,8,0.848,0.844,0.853,0.992
swe,9,0.842,0.832,0.853,0.991
swe,10,0.851,0.848,0.853,0.991
swe,11,0.839,0.831,0.848,0.991
swe,12,0.841,0.838,0.843,0.991
swe,13,0.838,0.834,0.843,0.991
swe,14,0.841,0.838,0.843,0.991
swe,15,0.846,0.843,0.848,0.991
nor,1,0.857,0.836,0.878,0.990
nor,2,0.833,0.817,0.849,0.989
nor,3,0.886,0.866,0.907,0.990
nor,4,0.872,0.853,0.892,0.991
nor,5,0.877,0.847,0.910,0.991
nor,6,0.873,0.838,0.910,0.991
nor,7,0.883,0.863,0.903,0.991
nor,8,0.860,0.830,0.892,0.990
nor,9,0.850,0.818,0.885,0.989
nor,10,0.862,0.840,0.885,0.990
nor,11,0.870,0.845,0.896,0.990
nor,12,0.864,0.831,0.900,0.990
nor,13,0.861,0.828,0.896,0.989
nor,14,0.860,0.832,0.889,0.990
nor,15,0.860,0.832,0.889,0.990
heb,1,0.535,0.519,0.551,0.956
heb,2,0.529,0.571,0.492,0.957
heb,3,0.545,0.536,0.554,0.957
heb,4,0.563,0.560,0.567,0.959
heb,5,0.565,0.539,0.592,0.957
heb,6,0.573,0.539,0.610,0.957
heb,7,0.565,0.556,0.574,0.957
heb,8,0.564,0.557,0.572,0.959
heb,9,0.576,0.552,0.601,0.958
heb,10,0.572,0.569,0.576,0.960
heb,11,0.579,0.566,0.592,0.960
heb,12,0.576,0.556,0.597,0.958
heb,13,0.577,0.545,0.613,0.957
heb,14,0.579,0.564,0.595,0.959
heb,15,0.577,0.563,0.592,0.958
rom,1,0.715,0.682,0.751,0.980
rom,2,0.691,0.693,0.690,0.978
rom,3,0.744,0.719,0.771,0.981
rom,4,0.749,0.706,0.797,0.979
rom,5,0.753,0.719,0.790,0.979
rom,6,0.752,0.704,0.806,0.978
rom,7,0.761,0.722,0.804,0.979
rom,8,0.757,0.712,0.808,0.980
rom,9,0.747,0.702,0.797,0.979
rom,10,0.745,0.714,0.779,0.980
rom,11,0.755,0.716,0.797,0.980
rom,12,0.756,0.711,0.808,0.979
rom,13,0.751,0.703,0.806,0.979
rom,14,0.759,0.719,0.803,0.979
rom,15,0.757,0.717,0.803,0.979
por,1,0.826,0.826,0.826,0.980
por,2,0.825,0.833,0.817,0.979
por,3,0.836,0.835,0.837,0.981
por,4,0.828,0.818,0.839,0.980
por,5,0.830,0.818,0.842,0.979
por,6,0.817,0.795,0.840,0.979
por,7,0.832,0.825,0.839,0.980
por,8,0.836,0.824,0.850,0.981
por,9,0.823,0.804,0.842,0.980
por,10,0.814,0.798,0.831,0.979
por,11,0.809,0.797,0.822,0.979
por,12,0.821,0.807,0.835,0.980
por,13,0.817,0.802,0.833,0.980
por,14,0.822,0.807,0.837,0.980
por,15,0.819,0.805,0.833,0.980
ger,1,0.763,0.731,0.798,0.976
ger,2,0.785,0.779,0.790,0.976
ger,3,0.777,0.748,0.807,0.976
ger,4,0.738,0.680,0.807,0.972
ger,5,0.751,0.710,0.798,0.973
ger,6,0.728,0.653,0.821,0.969
ger,7,0.762,0.724,0.803,0.974
ger,8,0.757,0.711,0.809,0.973
ger,9,0.740,0.677,0.815,0.970
ger,10,0.764,0.720,0.813,0.974
ger,11,0.763,0.721,0.811,0.973
ger,12,0.744,0.687,0.811,0.971
ger,13,0.740,0.676,0.817,0.970
ger,14,0.753,0.703,0.811,0.972
ger,15,0.751,0.701,0.809,0.972
chi,1,0.632,0.613,0.652,0.958
chi,2,0.604,0.648,0.566,0.952
chi,3,0.634,0.635,0.632,0.956
chi,4,0.637,0.640,0.635,0.955
chi,5,0.610,0.621,0.599,0.954
chi,6,0.654,0.634,0.675,0.955
chi,7,0.644,0.651,0.638,0.957
chi,8,0.617,0.636,0.599,0.954
chi,9,0.621,0.621,0.620,0.953
chi,10,0.603,0.617,0.589,0.953
chi,11,0.614,0.623,0.604,0.953
chi,12,0.623,0.619,0.627,0.953
chi,13,0.637,0.630,0.646,0.954
chi,14,0.628,0.630,0.626,0.954
chi,15,0.627,0.629,0.624,0.954
hrv,1,0.855,0.832,0.878,0.986
hrv,2,0.900,0.877,0.925,0.989
hrv,3,0.873,0.841,0.908,0.985
hrv,4,0.896,0.863,0.933,0.986
hrv,5,0.875,0.841,0.912,0.984
hrv,6,0.896,0.855,0.941,0.985
hrv,7,0.883,0.851,0.917,0.985
hrv,8,0.877,0.845,0.912,0.985
hrv,9,0.864,0.829,0.903,0.984
hrv,10,0.884,0.855,0.915,0.986
hrv,11,0.887,0.856,0.920,0.985
hrv,12,0.885,0.853,0.919,0.985
hrv,13,0.882,0.848,0.919,0.984
hrv,14,0.888,0.855,0.923,0.985
hrv,15,0.890,0.858,0.925,0.985
srb,1,0.855,0.847,0.863,0.983
srb,2,0.896,0.889,0.903,0.986
srb,3,0.880,0.868,0.892,0.984
srb,4,0.889,0.872,0.906,0.983
srb,5,0.889,0.876,0.902,0.983
srb,6,0.903,0.884,0.923,0.984
srb,7,0.901,0.887,0.915,0.985
srb,8,0.901,0.890,0.912,0.984
srb,9,0.888,0.875,0.901,0.983
srb,10,0.902,0.889,0.916,0.985
srb,11,0.902,0.889,0.915,0.984
srb,12,0.897,0.881,0.915,0.983
srb,13,0.892,0.871,0.913,0.983
srb,14,0.899,0.884,0.915,0.984
srb,15,0.898,0.883,0.915,0.984
dan,1,0.810,0.810,0.810,0.987
dan,2,0.798,0.806,0.790,0.986
dan,3,0.840,0.843,0.836,0.988
dan,4,0.803,0.797,0.808,0.986
dan,5,0.799,0.786,0.813,0.986
dan,6,0.816,0.809,0.823,0.986
dan,7,0.820,0.819,0.821,0.987
dan,8,0.816,0.814,0.818,0.987
dan,9,0.823,0.813,0.834,0.988
dan,10,0.816,0.819,0.813,0.987
dan,11,0.816,0.809,0.823,0.988
dan,12,0.829,0.825,0.834,0.988
dan,13,0.821,0.810,0.831,0.988
dan,14,0.819,0.811,0.826,0.988
dan,15,0.821,0.814,0.829,0.988
