test_lang,epoch,F1,precision,recall,accuracy,targ_lang,group
slk,1,0.1,0.132,0.08,0.901,all,2
slk,2,0.719,0.686,0.755,0.968,all,2
slk,3,0.803,0.786,0.822,0.973,all,2
eng,1,0.074,0.183,0.047,0.934,all,1
eng,2,0.582,0.546,0.622,0.961,all,1
eng,3,0.645,0.65,0.64,0.961,all,1
swe,1,0.094,0.163,0.066,0.97,all,1
swe,2,0.805,0.784,0.827,0.991,all,1
swe,3,0.836,0.83,0.843,0.992,all,1
nor,1,0.122,0.177,0.093,0.951,all,1
nor,2,0.789,0.74,0.846,0.987,all,1
nor,3,0.845,0.814,0.878,0.988,all,1
heb,1,0.063,0.102,0.046,0.929,all,4
heb,2,0.458,0.396,0.542,0.951,all,4
heb,3,0.507,0.443,0.592,0.94,all,4
rom,1,0.029,0.053,0.02,0.906,all,3
rom,2,0.674,0.599,0.769,0.976,all,3
rom,3,0.696,0.629,0.779,0.968,all,3
por,1,0.175,0.216,0.147,0.919,all,3
por,2,0.709,0.662,0.763,0.971,all,3
por,3,0.818,0.806,0.831,0.979,all,3
ger,1,0.09,0.143,0.066,0.935,all,1
ger,2,0.722,0.668,0.786,0.973,all,1
ger,3,0.787,0.754,0.823,0.975,all,1
chi,1,0.01,0.091,0.005,0.882,all,5
chi,2,0.604,0.543,0.68,0.951,all,5
chi,3,0.677,0.632,0.73,0.956,all,5
hrv,1,0.202,0.301,0.152,0.928,all,2
hrv,2,0.789,0.73,0.859,0.98,all,2
hrv,3,0.867,0.831,0.906,0.982,all,2
srb,1,0.193,0.279,0.147,0.912,all,2
srb,2,0.756,0.704,0.817,0.975,all,2
srb,3,0.869,0.847,0.891,0.98,all,2
dan,1,0.119,0.206,0.083,0.944,all,1
dan,2,0.759,0.738,0.782,0.984,all,1
dan,3,0.819,0.805,0.834,0.987,all,1
slk,1,0.785,0.785,0.785,0.973,chi,2
slk,2,0.806,0.812,0.801,0.975,chi,2
slk,3,0.802,0.816,0.789,0.975,chi,2
slk,4,0.802,0.822,0.783,0.974,chi,2
slk,5,0.806,0.817,0.796,0.973,chi,2
slk,6,0.808,0.831,0.787,0.974,chi,2
slk,7,0.805,0.821,0.789,0.973,chi,2
slk,8,0.811,0.822,0.801,0.974,chi,2
slk,9,0.806,0.818,0.794,0.974,chi,2
slk,10,0.791,0.804,0.778,0.971,chi,2
slk,11,0.793,0.81,0.778,0.972,chi,2
slk,12,0.799,0.818,0.78,0.972,chi,2
slk,13,0.792,0.818,0.769,0.971,chi,2
slk,14,0.794,0.818,0.771,0.971,chi,2
slk,15,0.797,0.819,0.776,0.972,chi,2
eng,1,0.651,0.662,0.64,0.963,chi,1
eng,2,0.659,0.661,0.658,0.962,chi,1
eng,3,0.653,0.674,0.633,0.963,chi,1
eng,4,0.653,0.695,0.615,0.962,chi,1
eng,5,0.654,0.677,0.633,0.962,chi,1
eng,6,0.651,0.701,0.608,0.962,chi,1
eng,7,0.655,0.684,0.629,0.962,chi,1
eng,8,0.653,0.687,0.622,0.963,chi,1
eng,9,0.659,0.688,0.633,0.963,chi,1
eng,10,0.664,0.707,0.626,0.963,chi,1
eng,11,0.663,0.718,0.615,0.963,chi,1
eng,12,0.673,0.723,0.629,0.964,chi,1
eng,13,0.663,0.734,0.604,0.963,chi,1
eng,14,0.665,0.725,0.615,0.963,chi,1
eng,15,0.667,0.713,0.626,0.963,chi,1
swe,1,0.848,0.859,0.838,0.992,chi,1
swe,2,0.854,0.861,0.848,0.993,chi,1
swe,3,0.871,0.885,0.858,0.993,chi,1
swe,4,0.854,0.877,0.832,0.992,chi,1
swe,5,0.867,0.876,0.858,0.993,chi,1
swe,6,0.868,0.888,0.848,0.993,chi,1
swe,7,0.859,0.87,0.848,0.993,chi,1
swe,8,0.849,0.856,0.843,0.993,chi,1
swe,9,0.859,0.87,0.848,0.993,chi,1
swe,10,0.845,0.859,0.832,0.992,chi,1
swe,11,0.858,0.874,0.843,0.992,chi,1
swe,12,0.863,0.879,0.848,0.992,chi,1
swe,13,0.855,0.873,0.838,0.992,chi,1
swe,14,0.855,0.873,0.838,0.992,chi,1
swe,15,0.855,0.873,0.838,0.992,chi,1
nor,1,0.831,0.817,0.846,0.988,chi,1
nor,2,0.833,0.817,0.849,0.989,chi,1
nor,3,0.865,0.856,0.875,0.989,chi,1
nor,4,0.859,0.868,0.849,0.989,chi,1
nor,5,0.84,0.834,0.846,0.989,chi,1
nor,6,0.86,0.871,0.849,0.989,chi,1
nor,7,0.857,0.854,0.86,0.989,chi,1
nor,8,0.859,0.855,0.864,0.989,chi,1
nor,9,0.855,0.846,0.864,0.989,chi,1
nor,10,0.845,0.848,0.842,0.989,chi,1
nor,11,0.84,0.844,0.835,0.989,chi,1
nor,12,0.854,0.859,0.849,0.989,chi,1
nor,13,0.854,0.861,0.846,0.989,chi,1
nor,14,0.85,0.858,0.842,0.989,chi,1
nor,15,0.855,0.856,0.853,0.989,chi,1
heb,1,0.588,0.548,0.633,0.961,chi,4
heb,2,0.58,0.562,0.599,0.962,chi,4
heb,3,0.613,0.594,0.633,0.963,chi,4
heb,4,0.6,0.602,0.599,0.963,chi,4
heb,5,0.603,0.613,0.595,0.962,chi,4
heb,6,0.616,0.628,0.604,0.963,chi,4
heb,7,0.608,0.614,0.601,0.963,chi,4
