Targ_lang,Test_lang,sim_score
eng,slk,56.3
eng,eng,0.0
eng,swe,31.0
eng,nor,33.6
eng,heb,91.4
eng,rom,57.4
eng,por,56.5
eng,ger,31.3
eng,chi,88.5
eng,hrv,52.5
eng,srb,52.5
eng,dan,24.6
slk,slk,0.0
slk,eng,56.3
slk,swe,42.7
slk,nor,44.0
slk,heb,85.0
slk,rom,49.9
slk,por,52.5
slk,ger,50.4
slk,chi,85.8
slk,hrv,12.1
slk,srb,9.3
slk,dan,54.4
dan,slk,54.4
dan,eng,24.6
dan,swe,10.3
dan,nor,17.7
dan,heb,82.2
dan,rom,54.3
dan,por,49.4
dan,ger,28.3
dan,chi,87.0
dan,hrv,55.3
dan,srb,55.3
dan,dan,0.0
rom,slk,49.9
rom,eng,57.4
rom,swe,47.2
rom,nor,51.7
rom,heb,78.4
rom,rom,0.0
rom,por,38.0
rom,ger,52.6
rom,chi,91.8
rom,hrv,44.8
rom,srb,47.1
rom,dan,54.3
chi,slk,85.8
chi,eng,88.5
chi,swe,86.1
chi,nor,86.1
chi,heb,97.2
chi,rom,91.8
chi,por,88.6
chi,ger,87.2
chi,chi,0.0
chi,hrv,86.0
chi,srb,86.0
chi,dan,87.0
