test_lang,epoch,F1,precision,recall,accuracy,targ_lang,group
slk,1,0.509,0.452,0.581,0.918,all,2
slk,2,0.566,0.497,0.659,0.918,all,2
slk,3,0.583,0.526,0.654,0.92,all,2
slk,4,0.591,0.516,0.691,0.918,all,2
slk,5,0.585,0.513,0.68,0.92,all,2
slk,6,0.611,0.552,0.684,0.922,all,2
slk,7,0.597,0.521,0.698,0.919,all,2
slk,8,0.588,0.52,0.675,0.916,all,2
slk,9,0.6,0.53,0.691,0.92,all,2
slk,10,0.591,0.522,0.682,0.92,all,2
slk,11,0.591,0.529,0.67,0.92,all,2
slk,12,0.596,0.529,0.682,0.92,all,2
slk,13,0.597,0.53,0.682,0.92,all,2
slk,14,0.596,0.525,0.689,0.92,all,2
slk,15,0.59,0.522,0.677,0.919,all,2
slk,16,0.597,0.526,0.689,0.92,all,2
slk,17,0.591,0.525,0.677,0.918,all,2
slk,18,0.591,0.522,0.682,0.92,all,2
slk,19,0.593,0.523,0.686,0.92,all,2
slk,20,0.595,0.524,0.689,0.92,all,2
eng,1,0.397,0.366,0.435,0.945,all,1
eng,2,0.498,0.483,0.514,0.945,all,1
eng,3,0.528,0.521,0.536,0.948,all,1
eng,4,0.576,0.547,0.608,0.95,all,1
eng,5,0.5,0.466,0.54,0.944,all,1
eng,6,0.561,0.568,0.554,0.949,all,1
eng,7,0.512,0.5,0.525,0.948,all,1
eng,8,0.528,0.546,0.511,0.95,all,1
eng,9,0.545,0.541,0.55,0.951,all,1
eng,10,0.551,0.548,0.554,0.95,all,1
eng,11,0.556,0.562,0.55,0.95,all,1
eng,12,0.555,0.549,0.561,0.95,all,1
eng,13,0.582,0.593,0.572,0.95,all,1
eng,14,0.568,0.561,0.576,0.95,all,1
eng,15,0.578,0.563,0.594,0.95,all,1
eng,16,0.581,0.569,0.594,0.949,all,1
eng,17,0.57,0.552,0.59,0.95,all,1
eng,18,0.574,0.553,0.597,0.951,all,1
eng,19,0.574,0.553,0.597,0.951,all,1
eng,20,0.564,0.543,0.586,0.95,all,1
swe,1,0.583,0.529,0.65,0.972,all,1
swe,2,0.655,0.589,0.736,0.973,all,1
swe,3,0.648,0.599,0.706,0.973,all,1
swe,4,0.627,0.571,0.695,0.972,all,1
swe,5,0.616,0.56,0.685,0.973,all,1
swe,6,0.637,0.585,0.701,0.973,all,1
swe,7,0.657,0.601,0.726,0.973,all,1
swe,8,0.643,0.595,0.701,0.973,all,1
swe,9,0.651,0.604,0.706,0.972,all,1
swe,10,0.64,0.59,0.701,0.973,all,1
swe,11,0.631,0.584,0.685,0.973,all,1
swe,12,0.647,0.597,0.706,0.973,all,1
swe,13,0.646,0.6,0.701,0.973,all,1
swe,14,0.65,0.602,0.706,0.973,all,1
swe,15,0.648,0.603,0.701,0.973,all,1
swe,16,0.653,0.603,0.711,0.973,all,1
swe,17,0.636,0.585,0.695,0.973,all,1
swe,18,0.64,0.59,0.701,0.973,all,1
swe,19,0.634,0.586,0.69,0.973,all,1
swe,20,0.639,0.587,0.701,0.973,all,1
nor,1,0.469,0.402,0.563,0.957,all,1
nor,2,0.54,0.459,0.656,0.958,all,1
nor,3,0.558,0.489,0.649,0.959,all,1
nor,4,0.587,0.508,0.695,0.96,all,1
nor,5,0.538,0.463,0.642,0.96,all,1
nor,6,0.569,0.507,0.649,0.96,all,1
nor,7,0.579,0.508,0.674,0.959,all,1
nor,8,0.572,0.503,0.663,0.961,all,1
nor,9,0.566,0.497,0.656,0.959,all,1
nor,10,0.552,0.485,0.642,0.959,all,1
nor,11,0.575,0.51,0.659,0.96,all,1
nor,12,0.555,0.489,0.642,0.959,all,1
nor,13,0.572,0.507,0.656,0.96,all,1
nor,14,0.572,0.505,0.659,0.96,all,1
nor,15,0.575,0.508,0.663,0.959,all,1
nor,16,0.575,0.508,0.663,0.959,all,1
nor,17,0.584,0.515,0.674,0.96,all,1
nor,18,0.58,0.511,0.67,0.959,all,1
nor,19,0.584,0.515,0.674,0.959,all,1
nor,20,0.579,0.51,0.67,0.959,all,1
heb,1,0.269,0.217,0.353,0.93,all,4
heb,2,0.35,0.292,0.435,0.937,all,4
heb,3,0.419,0.383,0.462,0.945,all,4
heb,4,0.389,0.334,0.465,0.939,all,4
heb,5,0.391,0.341,0.458,0.939,all,4
heb,6,0.406,0.378,0.44,0.945,all,4
heb,7,0.407,0.365,0.46,0.943,all,4
heb,8,0.42,0.372,0.483,0.94,all,4
heb,9,0.395,0.362,0.435,0.942,all,4
heb,10,0.395,0.354,0.446,0.943,all,4
heb,11,0.403,0.369,0.444,0.941,all,4
heb,12,0.411,0.369,0.462,0.941,all,4
heb,13,0.401,0.364,0.446,0.941,all,4
heb,14,0.414,0.367,0.474,0.942,all,4
heb,15,0.417,0.376,0.467,0.943,all,4
heb,16,0.421,0.377,0.476,0.944,all,4
heb,17,0.428,0.383,0.485,0.943,all,4
heb,18,0.414,0.367,0.474,0.941,all,4
heb,19,0.421,0.374,0.483,0.942,all,4
heb,20,0.414,0.367,0.474,0.941,all,4
rom,1,0.56,0.499,0.637,0.96,all,3
rom,2,0.615,0.54,0.716,0.971,all,3
rom,3,0.641,0.583,0.71,0.973,all,3
rom,4,0.621,0.552,0.71,0.971,all,3
rom,5,0.657,0.591,0.74,0.972,all,3
rom,6,0.664,0.62,0.714,0.976,all,3
rom,7,0.651,0.598,0.714,0.973,all,3
rom,8,0.664,0.608,0.731,0.972,all,3
rom,9,0.667,0.625,0.716,0.975,all,3
rom,10,0.675,0.623,0.736,0.976,all,3
rom,11,0.676,0.63,0.729,0.975,all,3
rom,12,0.668,0.619,0.725,0.975,all,3
rom,13,0.668,0.624,0.718,0.975,all,3
rom,14,0.68,0.633,0.734,0.975,all,3
rom,15,0.681,0.636,0.732,0.975,all,3
rom,16,0.672,0.625,0.727,0.975,all,3
rom,17,0.677,0.629,0.732,0.975,all,3
rom,18,0.675,0.628,0.731,0.975,all,3
rom,19,0.676,0.627,0.734,0.975,all,3
rom,20,0.675,0.626,0.732,0.975,all,3
por,1,0.419,0.365,0.492,0.939,all,3
por,2,0.571,0.506,0.657,0.948,all,3
por,3,0.584,0.53,0.65,0.949,all,3
por,4,0.6,0.536,0.683,0.949,all,3
por,5,0.602,0.537,0.684,0.95,all,3
por,6,0.595,0.541,0.661,0.949,all,3
por,7,0.616,0.552,0.695,0.951,all,3
por,8,0.619,0.555,0.699,0.95,all,3
por,9,0.61,0.551,0.683,0.949,all,3
por,10,0.61,0.551,0.684,0.949,all,3
por,11,0.619,0.562,0.69,0.951,all,3
por,12,0.616,0.555,0.692,0.95,all,3
por,13,0.619,0.563,0.686,0.95,all,3
por,14,0.619,0.56,0.692,0.95,all,3
por,15,0.622,0.562,0.695,0.95,all,3
por,16,0.615,0.556,0.688,0.951,all,3
por,17,0.621,0.561,0.695,0.951,all,3
por,18,0.614,0.555,0.688,0.951,all,3
por,19,0.622,0.56,0.699,0.951,all,3
por,20,0.614,0.554,0.69,0.95,all,3
ger,1,0.553,0.491,0.632,0.948,all,1
